PLAYERS	14			PASSING				RUSHING			RECEIVING				MISC			TOTAL
PLAYER, TEAM POS	Player	Team	Position	    C/A	  YDS	   TD	  INT	 RUSH	  YDS	   TD	  REC	  YDS	   TD	  TAR	  2PC	 FUML	   TD	PTS
Aaron Rodgers, GB QB	Aaron Rodgers	 GB QB		401/610	4428	40	7	67	369	4	0	0	0	0	2	4	0	365
Matt Ryan, Atl QB	Matt Ryan	 Atl QB		373/534	4944	38	7	35	117	0	0	0	0	0	2	2	0	334
Drew Brees, NO QB	Drew Brees	 NO QB		471/673	5208	37	15	23	20	2	0	0	0	0	0	4	0	323
David Johnson, Ari RB	David Johnson	 Ari RB		0/0	0	0	0	293	1239	16	80	879	4	120	1	3	0	313
Andrew Luck, Ind QB  Q	Andrew Luck	 Ind QB  Q		346/545	4240	31	13	64	341	2	0	0	0	0	2	5	0	297
Kirk Cousins, Wsh QB	Kirk Cousins	 Wsh QB		406/606	4917	25	12	34	96	4	0	0	0	0	0	3	0	290
Ezekiel Elliott, Dal RB	Ezekiel Elliott	 Dal RB		0/0	0	0	0	322	1631	15	32	363	1	40	0	1	0	280
Dak Prescott, Dal QB	Dak Prescott	 Dal QB		311/459	3667	23	4	57	282	6	0	0	0	0	0	4	0	271
Matthew Stafford, Det QB  Q	Matthew Stafford	 Det QB  Q		388/594	4327	24	10	37	207	2	0	0	0	0	1	2	0	267
Blake Bortles, Jax QB	Blake Bortles	 Jax QB		368/625	3905	23	16	58	359	3	1	20	1	1	2	6	0	259
Derek Carr, Oak QB  Q	Derek Carr	 Oak QB  Q		357/560	3937	28	6	39	70	0	0	0	0	0	5	3	0	257
Russell Wilson, Sea QB	Russell Wilson	 Sea QB		353/546	4219	21	11	72	259	1	2	14	1	2	1	2	0	256
Tyrod Taylor, Buf QB	Tyrod Taylor	 Buf QB		269/436	3023	17	6	95	580	6	0	0	0	0	2	2	0	254
Tom Brady, NE QB	Tom Brady	 NE QB		291/432	3554	28	2	28	64	0	0	0	0	0	1	0	0	251
Philip Rivers, SD QB	Philip Rivers	 SD QB		349/578	4386	33	21	14	35	0	0	0	0	0	0	5	0	250
Andy Dalton, Cin QB	Andy Dalton	 Cin QB		364/563	4206	18	8	46	184	4	0	0	0	0	0	3	0	250
Marcus Mariota, Ten QB  Q	Marcus Mariota	 Ten QB  Q		276/451	3426	26	9	60	349	2	0	0	0	1	0	5	0	247
Ben Roethlisberger, Pit QB	Ben Roethlisberger	 Pit QB		328/509	3819	29	13	16	14	1	0	0	0	0	3	2	0	246
Jameis Winston, TB QB	Jameis Winston	 TB QB		345/567	4090	28	18	53	165	1	0	0	0	0	3	6	0	243
Cam Newton, Car QB  Q	Cam Newton	 Car QB  Q		270/510	3509	19	14	90	359	5	0	0	0	0	2	2	0	241
LeSean McCoy, Buf RB  Q	LeSean McCoy	 Buf RB  Q		0/0	0	0	0	234	1267	13	50	356	1	57	1	0	0	238
Carson Palmer, Ari QB	Carson Palmer	 Ari QB		364/597	4233	26	14	14	38	0	0	0	0	0	1	4	0	234
Joe Flacco, Bal QB	Joe Flacco	 Bal QB		436/672	4317	20	15	21	58	2	0	0	0	0	4	3	0	231
Le'Veon Bell, Pit RB  Q	Le'Veon Bell	 Pit RB  Q		0/1	0	0	0	261	1268	7	75	616	2	94	1	1	0	231
DeMarco Murray, Ten RB	DeMarco Murray	 Ten RB		42737	10	1	0	293	1287	9	53	377	3	67	0	1	0	229
Eli Manning, NYG QB	Eli Manning	 NYG QB		377/598	4027	26	16	21	-9	0	0	0	0	0	0	4	0	218
LeGarrette Blount, NE RB	LeGarrette Blount	 NE RB		0/0	0	0	0	299	1161	18	7	38	0	8	0	1	0	218
Devonta Freeman, Atl RB	Devonta Freeman	 Atl RB		0/0	0	0	0	227	1079	11	54	462	2	65	0	1	0	216
Alex Smith, KC QB	Alex Smith	 KC QB		328/489	3502	15	8	48	134	5	1	3	0	1	2	4	0	212
Sam Bradford, Min QB	Sam Bradford	 Min QB		395/552	3877	20	5	20	53	0	1	5	0	1	0	5	0	210
Carson Wentz, Phi QB	Carson Wentz	 Phi QB		379/607	3782	16	14	46	150	2	1	7	0	1	2	3	0	202
