2017 Fantasy Big Board						
						
Big Board	QB	RB	WR	TE	K	DEF
	Round	Team	Rank	Name	Team2	Column3
	1	1	1	Ezekiel Elliot	DAL	
	1	2	2	Le'veon Bell	PIT	
	1	4	3	David Johnson	ARI	
	1	3	4	Julio Jones	ATL	
	1	5	5	Mike Evans	TB	
	1	10	6	Odell Beckham	NYG	
	1	7	7	Leonard Fournette	JAC	
	1	8	8	AJ Green	CIN	
	1	9	9	LeSean McCoy	BUF	
	2	10	10	Antonio Brown	PIT	
	1	6	11	Marshawn Lynch	OAK	
	2	9	12	Jordan Howard	CHI	
	2	8	13	Todd Gurley	LAR	
	2	7	15	Tom Brady	NE	
	2	6	14	Aaron Rodgers	GB	
	2	5	16	Jay Ajayi	MIA	
	2	4	17	Demarco Murray	TEN	
	3	1	18	Michael Thomas	NO	
	2	2	19	DeAndre Hopkins	HOU	
	2	1	20	Melvin Gordon	SD	Probably Higher- add Lamp and Feeney
	2	3	21	Rob Gronkowski	NE	
	3	2	22	Alshon Jeffery	PHI	
	3	3	23	Jameis Winston	TB	
	3	4	24	Jordan Reed	WAS	
	3	5	25	Jordy Nelson	GB	
	3	6	26	Kareem Hunt	KC	
	3	7	27	Adrian Peterson	NO	
	3	8	28	Greg Olsen	CAR	
	3	9	29	Keenan Allen	IND	
	3	10	30	Terrell Pryor	WAS	
	4	10	31	Devonta Freeman	ATL	
	4	9	32	Tyreek Hill	KC	Maybe should be higher
	4	8	33	Dez Bryant	DAL	
	4	7	34	Lamar Miller	HOU	
	4	6	35	Kenneth Dixon	BAL	
	4	5	36	Matt Ryan	ATL	Maybe should be higher
	4	4	37	Amari Cooper	OAK	
	4	3	38	Joe Mixon	CIN	
	4	2	39	Carlos Hyde	SF	
	4	1	40	Delanie Walker	TEN	Maybe too high
	5	1	41	Doug Baldwin	SEA	
	5	2	42	Tevin Coleman	ATL	
	5	3	43	Ben Roethlisberger	PIT	
	5	4	44	Davante Adams	GB	
	5	5	45	Michael Crabtree	OAK	
	5	6	46	Jimmy Graham	SEA	
	5	7	47	Tyler Eifert	CIN	
	5	8	48	Christian McCaffrey	CAR	Maybe should be higher
	5	9	49	Derek Carr	OAK	
	5	10	50	Eddie Lacy	SEA	
			51	Dalvin Cook	MIN	
			52	Thomas Rawls		
