Big Board	QB	RB	WR	TE	K	DEF
RdGrade	Rank	Name	Team	QB ?	Notes	
2	1	Aaron Rodgers	GB	1		
2	2	Tom Brady	NE	1		
3	3	Matt Ryan	ATL	1		
3	4	Jameis Winston	TB	1	Adds Desean Jackson, OJ Howard	
5	5	Ben Roethlisberger	PIT	1	Gets Martavis Bryant back	
4	6	Derek Carr	OAK	1		
6	7	Kirk Cousins	WAS	1.5		
7	8	Drew Brees	NO	1	Ryan Ramcyzk added, lost Cooks	
6.5	9	Russell Wilson	SEA	1		
7	13	Dak Prescott	DAL	1	Perhaps I've underrated him	
7	11	Cam Newton	CAR	2	Add OL in rd 2	
8	10	Andrew Luck	IND	1		
7	12	Matthew Stafford	DET	1		
7	13	Eli Manning	NYG	1.5		
7	14	Marcus Mariota	TEN	2	Coming off broken plant leg, adds Corey Davis	
8	15	Joe Flacco	BAL	2		
13	15	Carson Palmer	ARI	2.5		
10	16	DeShaun Watson	HOU	2		
14	17	Alex Smith	KC	2.5		
	19	Mike Glennon	CHI	2.5		
	20	Blake Bortles	JAC	3	Lots of turnaround potential but last year was horrid but still put up QB1 numbers somehow	
	21	Sam Bradford	MIN	3		
	6	Phillip Rivers	SD	1	Add Mike Williams, Lamp, Feeney. Gets back Keenan Allen	
	23					
	24					
	25					
	26					
	27					
	28					
	29					
	30					
	31					
	32					
	33					
	34					
	35					
	36					
	37					
	38					
	39					
	40					
